NAME,ADDRESS,CLASS,ZONE,City,Country,Latitude,Longitude
EMPRESS PARK,1 EMPRESS DR,B,WEST,Regina,Canada,50.4488399,-104.65172
BIRCHWOOD PARK,10 NORRIS RD,C,SOUTH,Regina,Canada,50.40061,-104.60292
PROCTER PARK,100 PROCTER PL,B,SOUTH,Regina,Canada,50.4170591,-104.6146143
LITZENBERGER PARK,100 RINK AVE,B,WEST,Regina,Canada,50.48916999999999,-104.64997
JUNIPER PARK,1000 STOCKTON ST,B,WEST,Regina,Canada,50.4955673,-104.6454386
WAPITI PARK,1001 N AGRYLE ST,,NORTH,Regina,Canada,50.4628176,-104.6323134
AE WILSON PARK WEST,1010 MCCARTHY BLVD,A,WEST,Regina,Canada,50.4602177,-104.6752887
MCNIVEN PARK,1010 MCNIVEN AVE,C,SOUTH,Regina,Canada,50.4184,-104.5956999
FRENCH PARK,1055 N MCINTOSH ST,B,WEST,Regina,Canada,50.4620526,-104.6524994
PINES OF NORMANVIEW PARK,1098 DOROTHY ST,B,WEST,Regina,Canada,50.47773,-104.68396
ROSEMONT PARK,1101 WALKER ST,B,WEST,Regina,Canada,50.46098,-104.6618699
CRESCENT PARK,1109 E 14TH AVE,B,CENTRAL,Regina,Canada,50.4437893,-104.5968867
QUEEN ELIZABETH JUBILEE PARK,111 E BROADWAY AVE,B,EAST,Regina,Canada,50.4374548,-104.5827107
DARKE PARK,1115 MCNIVEN AVE,B,SOUTH,Regina,Canada,50.417087,-104.5977508
MAYFIELD PARK,112 MAYFIELD RD,B,EAST,Regina,Canada,50.42942970000001,-104.5637883
MAPLE LEAF PARK,1120 14TH AVE,B,CENTRAL,Regina,Canada,50.44453379999999,-104.5969759
MJ COLDWELL PARK,115 FAIRVIEW RD,B,NORTH,Regina,Canada,50.49045,-104.61082
MCINNIS PARK 1,115 MCINNIS CRES,B,NOTH,Regina,Canada,50.4841,-104.63194
ROTHWELL FIELDS PARK,1197 PARK ST,C,EAST,Regina,Canada,50.4598299,-104.56836
CAREY PARK,120 CAREY ST,B,NORTH,Regina,Canada,50.4763745,-104.6393707
WEEKES PARK,120 WEEKES CRES,B,NORTH,Regina,Canada,50.4957705,-104.6079524
ROTHWELL PARK,1201 ROTHWELL ST,B,EAST,Regina,Canada,50.4587,-104.56965
WHELAN  RADWAY PARK,1202 N RADWAY ST,B,WEST,Regina,Canada,50.4977268,-104.6683226
ELMWOOD PARK,1225 SHANNON RD,B,SOUTH,Regina,Canada,50.40297,-104.59662
PARKRIDGE PARK,1243 ROSSIE DR,B,EAST,Regina,Canada,50.45826,-104.53352
EMERALD PARK,125 EMERALD PARK RD,B,SOUTH,Regina,Canada,50.4066619,-104.6007248
DOVER PARK,1250 DOVER AVE,B,NORTH,Regina,Canada,50.48252,-104.59803
STAN OXELGREN MEMORIAL PARK,126 SANGSTER BLVD,B,NORTH,Regina,Canada,50.48968,-104.63554
DR FERGUSON PARK,129 BROTHERTON AVE,B,EAST,Regina,Canada,50.45221670000001,-104.5555935
EDENWOLD EXTENSION R7,129 EDENWOLD CRES,B,WEST,Regina,Canada,50.48623,-104.66298
TURNER PARK,130 BENTLEY DR,B,EAST,Regina,Canada,50.45386,-104.54603
MAHON PARK,130 BROTHERTON AVE,B,EAST,Regina,Canada,50.4527473,-104.5553951
QUAPPELLE PARK,1301 PARKER AVE,B,SOUTH,Regina,Canada,50.41255,-104.59998
PASQUA PARK,1301 PASQUA ST,B,CENTRAL,Regina,Canada,50.45788,-104.6404
GARDINER PARK EXTENSION,1320 E TRUESDALE DR,B,EAST,Regina,Canada,50.4410061,-104.5584062
MARSH PARK,134 MARSH CRES,B,SOUTH,Regina,Canada,50.40157,-104.6159
THERESA STEVENSON PARK,1399 N LAKERIDGE RD,B,WEST,Regina,Canada,50.50381609999999,-104.6603048
EDENWOLD R8 PARK,140 EDENWOLD CRES,B,WEST,Regina,Canada,50.48706,-104.66202
ARBORETUM PARK,1430 4TH AVE,C,CENTRAL,Regina,Canada,50.4631727,-104.6009024
MCINNIS PARK 2,144 MCINNIS CRES,B,NORTH,Regina,Canada,50.4837988,-104.6301522
CARLTON PARK,1450 CARLTON ST,C,WEST,Regina,Canada,50.45631059999999,-104.6714641
DERBY PARK,15 DERBY ST,B,NORTH,Regina,Canada,50.4797047,-104.636619
DRYBURGH PARK,15 DRYBURGH CRES,C,WEST,Regina,Canada,50.49262,-104.66097
MURPHY PARK,15 MURPHY CRES,B,WEST,Regina,Canada,50.47813,-104.68167
STOREY PARK,15 STOREY CRES,B,WEST,Regina,Canada,50.48618,-104.66961
GLEN ELM PARK,1501 BOND ST,B,EAST,Regina,Canada,50.455165,-104.567881
TONY COTE PARK,1505 ANSON RD,C,CENTRAL,Regina,Canada,50.4403448,-104.6027739
OXFORD PARK,1512 E 8TH AVE,B,EAST,Regina,Canada,50.45694959999999,-104.602729
RICHARDSON PARK,156 SHANNON RD,B,SOUTH,Regina,Canada,50.3996569,-104.6149532
EWART PARK,1564 N DEVONSHIRE DR,B,WEST,Regina,Canada,50.5037052,-104.6701556
PATTY CAKE PLAY PARK,1581 ROBINSON ST,C,CENTRAL,Regina,Canada,50.45355319999999,-104.6235346
ENGLEWOOD PARK,165 PETERSMEYER ST,B,NORTH,Regina,Canada,50.49221,-104.62243
ROBERT USHER PARK,1660 9TH AVE N,B,NORTH,Regina,Canada,50.48531,-104.60457
CLERMONT PARK,169 CANNON ST,B,EAST,Regina,Canada,50.4570514,-104.5514006
FUHRMANN PARK,170 FUHRMANN CRES,B,WEST,Regina,Canada,50.4871597,-104.6571907
CONFEDERATION PARK,1700 ELPHINSTONE ST,C,CENTRAL,Regina,Canada,50.4507002,-104.6352966
MAAT PARK,1701 N ELKS RD,B,WEST,Regina,Canada,50.5073371,-104.6536052
FLEET PARK,1728 FLEET ST,B,EAST,Regina,Canada,50.45088,-104.54913
CORE COMMUNITY PARK,1801 MONTREAL ST,B,CENTRAL,Regina,Canada,50.4503673,-104.5977097
REGINA MINOR GIRLS,1825 9TH AVE N,B,NORTH,Regina,Canada,50.48384290000001,-104.6072256
MCVEETY PARK,1851 JUBILEE AVE,C,SOUTH,Regina,Canada,50.42025,-104.6069799
ST MARK PARK,1855 ROTHWELL ST,B,EAST,Regina,Canada,50.4493099,-104.57005
FLAMINGO PARK,19 FLAMINGO CRES,C,SOUTH,Regina,Canada,50.40705999999999,-104.61208
LORIMER PARK,19 LORIMER CRES,B,NORTH,Regina,Canada,50.48128999999999,-104.63828
RIVERBEND PARK,1900 HESELTINE RD,,EAST,Regina,Canada,50.44148999999999,-104.54464
GOLDMAN PARK,1900 NORMAN MACKENZIE RD,B,NORTH,Regina,Canada,50.50007859999999,-104.6074466
WILFRED WALKER PARK,1910 E WAGMAN DR,B,EAST,Regina,Canada,50.4391051,-104.5556827
STEWART RUSSELL PARK,1912 E 7TH AVE,B,EAST,Regina,Canada,50.4582869,-104.6086978
LUCY ELEY PARK,1915 RETALLACK ST,C,CENTRAL,Regina,Canada,50.448474,-104.6220767
GREENBURG PARK,1956 BRODER ST,B,CENTRAL,Regina,Canada,50.44789,-104.59126
ACADEMY PARK,2 ACADEMY PARK RD,B,SOUTH,Regina,Canada,50.4089355,-104.6049575
COVENTRY PARK,20 COVENTRY RD,C,WEST,Regina,Canada,50.46053999999999,-104.64658
HIND PARK,20 HIND ST,B,WEST,Regina,Canada,50.48614999999999,-104.68138
SHERWOOD PARK,20 WAKEFIELD CRES,B,WEST,Regina,Canada,50.47914,-104.64912
RUTH PAWSON PARK,20 WEEKES CRES,B,NORTH,Regina,Canada,50.495765,-104.60437
MCLURG SCHOOL PARK,201 FULTON DR,B,WEST,Regina,Canada,50.47252,-104.6778999
DICKINSON PARK,2010 12TH AVE N,B,NORTH,Regina,Canada,50.4491119,-104.6096929
ELMVIEW EAST PARK,202 ELMVIEW RD,B,NORTH,Regina,Canada,50.48987,-104.60473
KEN JENKINS PARK,210 MCINTOSH ST,B,WEST,Regina,Canada,50.47484,-104.65514
CITY SQUARE PLAZA,2100 12TH AVE,,CENTRAL,Regina,Canada,50.4490062,-104.611206
CATHY LAURITSEN MEMORIAL OFFLEASH DOG PARK,2110 FORGET ST,C,CENTRAL,Regina,Canada,50.4446468,-104.6516098
TANSLEY PARK,2111 NORMAN MACKENZIE RD,B,NORTH,Regina,Canada,50.4994115,-104.6117475
DAFFODIL PARK,2128 DUFFERIN RD,B,SOUTH,Regina,Canada,50.40402,-104.60709
BRINKWORTH PARK,2150 ALEXANDRA ST,C,CENTRAL,Regina,Canada,50.44475079999999,-104.644049
YINGST PARK,216 CAVENDISH ST,B,EAST,Regina,Canada,50.45888,-104.55923
HASTINGS PARK,216 HASTINGS CRES,B,WEST,Regina,Canada,50.4800195,-104.6746108
CROSS PARK,2176 CROSS PL,B,SOUTH,Regina,Canada,50.4179,-104.6092636
VICTORIA PARK,2190 VICTORIA AVE,A,CENTRAL,Regina,Canada,50.4480315,-104.6122811
FREDERICK W HILL MALL,2199 11TH AVE,A,CENTRAL,Regina,Canada,50.4501668,-104.6128092
MILFORD PARK,220 CAMBRIDGE AVE,B,EAST,Regina,Canada,50.4510626,-104.5511372
COLEMAN PARK,220 FINES DR,B,EAST,Regina,Canada,50.4505432,-104.5427166
GOCKI PARK,2230 LINDSAY ST,B,CENTRAL,Regina,Canada,50.4432305,-104.5865071
CENTRAL PARK,2231 SCARTH ST,A,CENTRAL,Regina,Canada,50.4430743,-104.6102932
MABLE BROWN PARK,225 MIKKELSON DR,B,WEST,Regina,Canada,50.4670849,-104.6801682
RIVERBEND PARK,2250 HESELTINE RD,,EAST,Regina,Canada,50.44242,-104.54073
McDERMID PARK,230 QUEBEC ST,B,NORTH,Regina,Canada,50.47482,-104.5973999
MASSEY PARK,2355 PARLIAMENT AVE,B,SOUTH,Regina,Canada,50.4140644,-104.6116233
ST JAMES PARK,2360 PASQUA ST,C,CENTRAL,Regina,Canada,50.4412499,-104.6421
CHURCHBLACKMAN PARK,240 CHURCH DR,B,WEST,Regina,Canada,50.48626789999999,-104.6861395
KIWANIS PARK EXTENSION,2475 ELPHINSTONE ST,B,CENTRAL,Regina,Canada,50.43544,-104.62684
QUEEN ELIZABETH II COURT PARK,2476 VICTORIA AVE,A,CENTRAL,Regina,Canada,50.4481139,-104.615797
UNIVERSITY PARK,25 MICHENER DR,B,EAST,Regina,Canada,50.4311,-104.56034
MCMURCHY PARK,250 N GARNET ST,C,NORTH,Regina,Canada,50.4740367,-104.6271597
PACER PARK,2501 ANAQUOD RD,,EAST,Regina,Canada,50.43604999999999,-104.5010099
SCRIVENER PARK,255 CANNON ST,B,EAST,Regina,Canada,50.45957,-104.55144
SHEPPARD PARK,255 N GARNET ST,B,NORTH,Regina,Canada,50.4739686,-104.6268522
DOLPHIN BAY PARK,26 CARDINAL CRES,C,SOUTH,Regina,Canada,50.4074043,-104.6074615
MIKE BADHAM PARK,2606 GRANT RD,B,SOUTH,Regina,Canada,50.4022999,-104.61077
GLENCAIRN PARK,2626 E DEWDNEY AVE,B,EAST,Regina,Canada,50.4550645,-104.5099999
VARSITY PARK,2635 E PHILIP RD,B,EAST,Regina,Canada,50.4245878,-104.5455325
HOWELL PARK,2705 E HOWELL DR,B,EAST,Regina,Canada,50.4620714,-104.5452119
JOLLY PARK,2714 E SWAIN PL,B,EAST,Regina,Canada,50.4355655,-104.545067
SCHWEITZER PARK,2715 HELMSING ST,B,EAST,Regina,Canada,50.43602,-104.53798
DOMINION PARK,2735 LACON ST,B,EAST,Regina,Canada,50.43537,-104.56792
ROTARY PARK,2738 REGINA AVE,A,SOUTH,Regina,Canada,50.43591,-104.62128
HILL PARK,2755 E DEWDNEY AVE,B,EAST,Regina,Canada,50.4550645,-104.5099999
KIWANIS WATERFALL PARK,2755 ELPHINSTONE ST,A,SOUTH,Regina,Canada,50.43732,-104.6297699
ALPORT PARK,28 ALPORT CRES,B,NORTH,Regina,Canada,50.49601910000001,-104.6001761
FIREHALL PARK,281 RINK AVE,B,WEST,Regina,Canada,50.487654,-104.6596133
GARUIK PARK,281 TRIFUNOV CRES,B,NORTH,Regina,Canada,50.49187999999999,-104.63804
NEFF PARK,2827 E NEFF RD,B,EAST,Regina,Canada,50.43103319999999,-104.5424802
PEART PARK,2851 OTTAWA ST,B,CENTRAL,Regina,Canada,50.43508139999999,-104.5998923
LAKEVIEW PARK,2910 ATHOL ST,C,SOUTH,Regina,Canada,50.4325199,-104.62898
QUEENS PARK,2925 4TH AVE N,B,NORTH,Regina,Canada,50.47501,-104.62298
COLUMBUS PARK,2940 PASQUA ST,C,SOUTH,Regina,Canada,50.4328868,-104.642211
HARDING PARK,2952 HARDING ST,B,EAST,Regina,Canada,50.43272,-104.54969
BRUTON PARK,30 CHURCH DR,B,WEST,Regina,Canada,50.48657,-104.67864
WILLISTON PARK,30 WILLISTON DR,B,WEST,Regina,Canada,50.48162,-104.67851
KINGS ROAD PARK,3003 PASQUA ST,B,SOUTH,Regina,Canada,50.4306105,-104.6397096
PATRICIA PARK,3009 AVONHURST DR,B,NORTH,Regina,Canada,50.47101,-104.62646
CAEN PARK,3010 PRINCESS ST,C,SOUTH,Regina,Canada,50.43134,-104.63693
DOUGLAS PARK,3025 MCDONALD ST,,EAST,Regina,Canada,50.42884,-104.57954
WASCANA VIEW PARK,3025 WASCANA CIRCLE,B,EAST,Regina,Canada,50.4203,-104.53918
READY PARK,3043 E ARENS RD,B,EAST,Regina,Canada,50.43754999999999,-104.54224
IMPERIAL PARK,305 ROSE ST,B,NORTH,Regina,Canada,50.47402,-104.60723
MUNROE PARK,31 GARDINER AVE,B,SOUTH,Regina,Canada,50.4143159,-104.6055101
ST GREGORY PARK,310 UPLAND DR,B,NORTH,Regina,Canada,50.49256,-104.61202
HOPSON PARK,3100 ROCHDALE BLVD,B,NORTH,Regina,Canada,50.49754,-104.62579
RIVERBEND ,3100 TREGARVA DRIVE,B,EAST,Regina,Canada,50.4422831,-104.5377898
LACON PARK,3101 LACON ST,B,EAST,Regina,Canada,50.43226,-104.57102
RAE PARK,3101 PARLIAMENT AVE,C,SOUTH,Regina,Canada,50.4133,-104.62361
PARLIAMENT PARK SOUTH,3102 PARLIAMENT AVE,C,SOUTH,Regina,Canada,50.41672,-104.62681
CANNON STREET PARK,311 CANNON ST,B,EAST,Regina,Canada,50.46131,-104.55116
LEOPOLD CRESCENT PARK,3110 18TH AVE,C,CENTRAL,Regina,Canada,50.4385415,-104.6257875
REVES PARK,3175 HARDING ST,B,EAST,Regina,Canada,50.42998,-104.5397
PASCOE PARK,3199 19TH AVE,C,CENTRAL,Regina,Canada,50.43595999999999,-104.62666
MCGILLIVRAY PARK,32 MCGILLIVRAY CRES,B,WEST,Regina,Canada,50.47524660000001,-104.6469414
WINDSOR PARK SOUTH,3200 E WOODHAMS DR,B,EAST,Regina,Canada,50.4280444,-104.5349143
